Country,Warming since 1960
Solomon Islands,1.62 + 0.50
Somalia,2.14 + 0.50
South Africa,1.23 + 0.37
South Georgia and the South Sandwich Isla,1.85 + 0.76
South Korea,2.00 + 0.21
Spain,2.57 + 0.24
Sri Lanka,1.37 + 0.28
Sudan,2.04 + 0.22
Suriname,1.75 + 0.22
Svalbard and Jan Mayen,5.45 + 0.81
Swaziland,1.43 + 0.31
Sweden,2.95 + 0.27
Switzerland,2.83 + 0.23
Syria,1.95 + 0.19
Taiwan,1.46 + 0.28
Tajikistan,2.66 + 0.28
Tanzania,1.98 + 0.27
Thailand,1.07 + 0.24
Timor-Leste,0.90 + 0.41
Togo,1.75 + 0.46
Tonga,1.34 + 0.43
Trinidad and Tobago,1.60 + 0.37
Tunisia,3.12 + 0.31
Turkey,1.60 + 0.22
Turkmenistan,3.19 + 0.26
Turks and Caicas Islands,1.50 + 0.39
Uganda,1.78 + 0.17
Ukraine,2.66 + 0.21
United Arab Emirates,3.36 + 0.57
United Kingdom,2.30 + 0.26
United Kingdom (Europe),2.35 + 0.26
United States,2.36 + 0.13
Uruguay,1.56 + 0.45
Uzbekistan,2.72 + 0.29
Venezuela,1.33 + 0.31
Vietnam,0.91 + 0.27
Virgin Islands,1.88 + 0.30
Western Sahara,2.49 + 0.69
Yemen,2.50 + 0.55
Zambia,1.77 + 0.27
Zimbabwe,1.50 + 0.22
